Order_ID,Order_Date,Branch,Customer_ID,Customer_Name,Gender,City,Product_Category,Product_Name,Brand,Quantity,Unit_Price,Discount_Percent,Sales,Cost,Profit,Payment_Method,Salesperson,Rating
ORD10001,24/11/2025,Johar Town,C1143,Maryam Ahmed,Male,Lahore,Grocery,Basmati Rice 5kg,Guard,3,3200,5,9120,7800,1320,JazzCash,Hamza,3.5
ORD10002,17/02/2025,Gulberg,C1575,Hassan Sheikh,Male,Lahore,Beverages,Pepsi 1.5L,Pepsi,5,220,20,880,850,30,Easypaisa,Bilal,4.7
ORD10003,04/01/2025,DHA,C1160,Hassan Iqbal,Male,Lahore,Beverages,Nestle Water 1.5L,Nestle,4,90,10,324,240,84,Cash,Hamza,3.6
ORD10004,26/06/2025,Wapda Town,C1128,Umar Ahmed,Female,Lahore,Bakery,Cookies,LU,1,250,15,212.5,180,32.5,JazzCash,Zain,4.4
ORD10005,27/12/2025,Gulberg,C1239,Ahmed Sheikh,Female,Lahore,Grocery,Basmati Rice 5kg,Guard,2,3200,10,5760,5200,560,Easypaisa,Zain,3.7
ORD10006,01/07/2025,Wapda Town,C1651,Usman Malik,Male,Lahore,Beverages,Nestle Water 1.5L,Nestle,3,90,0,270,180,90,Easypaisa,Hamza,3.9
ORD10007,24/11/2025,Gulberg,C1235,Ali Iqbal,Female,Lahore,Stationery,Marker,Dollar,2,120,10,216,160,56,Credit Card,Ali,3.8
ORD10008,18/10/2025,Model Town,C1659,Ayesha Butt,Female,Lahore,Stationery,Pen,Dollar,2,60,15,102,70,32,Debit Card,Hassan,4.6
ORD10009,03/10/2025,Wapda Town,C1409,Hamza Malik,Male,Lahore,Electronics,Power Bank,Xiaomi,5,4500,15,19125,18000,1125,JazzCash,Umar,3.6
ORD10010,25/01/2025,Wapda Town,C1066,Umar Sheikh,Female,Lahore,Grocery,Cooking Oil 1L,Dalda,2,650,15,1105,1040,65,JazzCash,Bilal,5
ORD10011,06/01/2025,DHA,C1788,Zain Iqbal,Male,Lahore,Stationery,Marker,Dollar,1,120,20,96,80,16,Credit Card,Hamza,3.7
ORD10012,02/01/2025,Johar Town,C1520,Ahmed Raza,Male,Lahore,Stationery,Marker,Dollar,3,120,20,288,240,48,Debit Card,Zain,4.6
ORD10013,04/10/2025,Model Town,C1020,Ahmed Iqbal,Female,Lahore,Bakery,Bread,Dawn,5,120,10,540,400,140,Debit Card,Ahmed,3.9
